hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
10,184,0.741376909898945,0.0,0.25069023
11,184,0.8602883902340756,0.2683242097062513,0.26725566
12,184,0.9265255542748874,0.14859460821547218,0.26725566
13,184,0.9169113273180868,0.13207844774738692,0.21148537
14,184,0.8466858177126353,0.282788322263581,0.21148537
15,184,0.7651300598135532,0.2738863216842348,0.18001104
16,184,0.6676084201702629,0.30176545996881826,0.19657648
17,184,0.47634723062615547,0.42269128917551685,0.21976808
18,184,0.2675385604257049,0.3815160531285365,0.20375483
19,184,0.07048652709614195,0.17158886520171557,0.19381557
20,184,0.005345094950379393,0.1801146920640077,0.18829376
21,184,0.0,0.0458902603447941,0.17007178
22,184,0.03474620635139713,0.2645926834556814,0.13859746
23,184,0.03250894305457708,0.22857837622145027,0.1109884
24,184,0.034167732170646004,0.0,0.1082275
1,185,0.07281702446794519,0.4247784469330276,0.11430149
2,185,0.07296957728994964,0.18934145109776493,0.11319713
3,185,0.07284300740607752,0.31248172567427407,0.11154059
4,185,0.07276546162959881,0.443287169189674,0.11264495
5,185,0.0,0.5158180356649984,0.1109884
6,185,0.0015253662522644257,0.51400028012225,0.14467145
7,185,0.03599988107053441,0.732455590680769,0.15019326
8,185,0.06366953628721488,0.8271443208002119,0.16510215
9,185,0.14194099655894113,0.7115205813018965,0.24295969
10,185,0.2000355501661534,0.7487800341519114,0.25069023
11,185,0.37310458122544266,0.9143056349599389,0.26725566
12,185,0.40159339779107905,0.8848829545227237,0.26725566
13,185,0.3101488638584698,0.857571759677059,0.21148537
14,185,0.3987299094525367,0.9589381787400767,0.21148537
15,185,0.404477595337293,0.9085456194214383,0.18001104
16,185,0.3489057899456913,1.0,0.19657648
17,185,0.24762566951851578,1.0,0.21976808
18,185,0.12641377330219278,1.0,0.20375483
19,185,0.05119495031552143,0.9257799795332724,0.19381557
20,185,0.0048179291829150055,0.9981607916758072,0.18829376
21,185,0.0,0.4517604579582752,0.17007178
22,185,0.07289228378909655,0.4042739341934535,0.13859746
23,185,0.07291805141094711,0.3036509303324394,0.1109884
24,185,0.07294381591123145,0.2241174776253362,0.1082275
1,186,0.0728380585195357,0.42461293637040226,0.11430149
2,186,0.07296957728994964,0.19314905665379595,0.11319713
3,186,0.07286651304567977,0.3025192694495471,0.11154059
4,186,0.07278650077558538,0.4225078640873916,0.11264495
5,186,0.0,0.4697993683878391,0.1109884
6,186,0.0015973859638225751,0.5041305090386013,0.14467145
7,186,0.03660553420086642,0.7310953924383441,0.15019326
8,186,0.0682058785656774,0.83307020008086,0.16510215
9,186,0.13850181933055855,0.714345886059779,0.24295969
10,186,0.20311255184731067,0.7512327044344329,0.25069023
11,186,0.36687577958245526,0.9117864077842385,0.26725566
12,186,0.390450300618491,0.8667129686021312,0.26725566
13,186,0.31546630538718823,0.8596097818600782,0.21148537
14,186,0.4120813782064904,0.9563955795409889,0.21148537
15,186,0.3983851321391983,0.9132614229850763,0.18001104
16,186,0.34591578431270775,1.0,0.19657648
17,186,0.25072440400637497,1.0,0.21976808
18,186,0.12820280053486385,1.0,0.20375483
19,186,0.05044339244455013,0.9337226482936897,0.19381557
20,186,0.004772445552419916,1.0,0.18829376
21,186,0.0,0.4410034464762603,0.17007178
22,186,0.07289228378909655,0.4057570235202375,0.13859746
23,186,0.07292073106441667,0.3103328555664968,0.1109884
24,186,0.07294381591123145,0.23447487429053196,0.1082275
1,187,0.012861013064370085,0.24099549367034712,0.11430149
2,187,0.011135605038744905,0.1426340283672446,0.11319713
3,187,0.009276942814844988,0.04453752319094183,0.11154059
4,187,0.009016457216569827,0.7080084934613453,0.11264495
5,187,0.0,0.0,0.1109884
6,187,0.039701519724670925,0.6461988907791997,0.14467145
7,187,0.2104735423251107,0.9774656770103887,0.15019326
8,187,0.4080264762485883,0.7197579024472271,0.16510215
9,187,0.5892665718844983,0.028013785965326953,0.24295969
10,187,0.7363135128531118,0.0,0.25069023
11,187,0.8380672762131026,0.0,0.26725566
12,187,0.8920228385019833,0.38080246893530245,0.26725566
13,187,0.8876692814681486,0.10367904927784845,0.21148537
14,187,0.8378768924084536,0.1334409980751983,0.21148537
15,187,0.7743306562784382,0.2676893328315522,0.18001104
16,187,0.4759818517904738,0.2392398474270682,0.19657648
17,187,0.3892394668143663,0.2689318354060966,0.21976808
18,187,0.28218950479864197,0.08368650443895376,0.20375483
19,187,0.12183812918165168,0.09367002620987143,0.19381557
20,187,0.008752022847301226,0.0,0.18829376
21,187,0.0,0.25327968841385506,0.17007178
22,187,0.0344114608547592,0.13310178355421473,0.13859746
23,187,0.031441620031373636,0.23298936328449757,0.1109884
24,187,0.033691543398109716,0.5122731015066282,0.1082275
1,188,0.013813645312297129,0.05486840650998347,0.11430149
2,188,0.013770545481045093,0.16731285793567885,0.11319713
3,188,0.014233934455927428,0.13967930570519557,0.11154059
4,188,0.013965895223378093,0.0,0.11264495
5,188,0.0,0.052041350238209334,0.1109884
6,188,0.025294549634420474,0.047805585874840635,0.14467145
7,188,0.1756089887329729,0.0,0.15019326
8,188,0.3696821624453614,0.0,0.16510215
9,188,0.5530880284075391,0.0,0.24295969
10,188,0.7038667289460665,0.0,0.25069023
11,188,0.805288213967369,0.0,0.26725566
12,188,0.8691021396186287,0.031625818044615985,0.26725566
13,188,0.890223501583611,0.0,0.21148537
14,188,0.8290770339080437,0.007907454619991065,0.21148537
15,188,0.546327424200498,0.0,0.18001104
16,188,0.5653723916777363,0.0,0.19657648
17,188,0.4303162139079862,0.010768715076077516,0.21976808
18,188,0.31650265208981104,0.0,0.20375483
19,188,0.13427869361652137,0.0,0.19381557
20,188,0.012335283698461172,0.1667304705475587,0.18829376
21,188,0.0,0.0512627463418757,0.17007178
22,188,0.036902417076058305,0.0,0.13859746
23,188,0.032756062517383534,0.29875687792570693,0.1109884
24,188,0.033578953723912675,0.0,0.1082275
1,189,0.012717124105997924,0.0,0.11430149
2,189,0.013496493541739778,0.4194380906198497,0.11319713
3,189,0.014941376975739417,0.0,0.11154059
4,189,0.014833869201115681,0.0,0.11264495
5,189,0.0,0.0,0.1109884
6,189,0.030622028481152218,0.0,0.14467145
7,189,0.19894699761187443,0.0,0.15019326
8,189,0.4020806013263634,0.0,0.16510215
9,189,0.5868274465741926,0.0,0.24295969
10,189,0.736382463142526,0.0,0.25069023
11,189,0.8390833863853066,0.0,0.26725566
12,189,0.8962193685269038,0.0,0.26725566
13,189,0.9044672733154537,0.0,0.21148537
14,189,0.8260338374451622,0.025069045573417617,0.21148537
15,189,0.583180671717894,0.03214999026834474,0.18001104
16,189,0.6117547215392035,0.24123693134824806,0.19657648
17,189,0.4542922723426746,0.0,0.21976808
