시간,총부하MW,실부하MW
2025-05-02 오후 1:30:00,34663.472656,33861
2025-05-02 오후 1:35:00,35150.652344,34356.453125
2025-05-02 오후 1:40:00,35382.394531,34588.054688
2025-05-02 오후 1:45:00,35504.015625,34691.953125
2025-05-02 오후 1:50:00,35698.191406,34880.539062
2025-05-02 오후 1:55:00,35782.589844,34903.433594
2025-05-02 오후 2:00:00,36314.371094,35500.054688
2025-05-02 오후 2:05:00,36539.546875,35734.710938
2025-05-02 오후 2:10:00,36963.941406,36149.042969
2025-05-02 오후 2:15:00,37093.714844,36291.394531
2025-05-02 오후 2:20:00,37572.105469,36793.191406
2025-05-02 오후 2:25:00,37904.511719,37071.710938
2025-05-02 오후 2:30:00,38279.4375,37458.320312
2025-05-02 오후 2:35:00,39040.988281,38240.742188
2025-05-02 오후 2:40:00,39189.320312,38361.972656
2025-05-02 오후 2:45:00,39940.441406,39139.769531
2025-05-02 오후 2:50:00,40144.460938,39353.425781
2025-05-02 오후 2:55:00,40607.269531,39858.925781
2025-05-02 오후 3:00:00,40493.78125,39763.308594
2025-05-02 오후 3:05:00,40804.359375,40076.203125
2025-05-02 오후 3:10:00,41022.476562,40316.6875
2025-05-02 오후 3:15:00,41238.101562,40517.957031
2025-05-02 오후 3:20:00,41596.386719,40882.191406
2025-05-02 오후 3:25:00,42182.441406,41483.207031
2025-05-02 오후 3:30:00,42537.753906,41867.515625
2025-05-02 오후 3:35:00,42476.894531,41848.652344
2025-05-02 오후 3:40:00,43037.398438,42425.875
2025-05-02 오후 3:45:00,43282.140625,42661.070312
2025-05-02 오후 3:50:00,43857.570312,43169.5
2025-05-02 오후 3:55:00,44404.066406,43746.371094
2025-05-02 오후 4:00:00,45225,44561.542969
2025-05-02 오후 4:05:00,45411.941406,44813.191406
2025-05-02 오후 4:10:00,45723.070312,45107.886719
2025-05-02 오후 4:15:00,46369.105469,45749.65625
2025-05-02 오후 4:20:00,46984.921875,46390.238281
2025-05-02 오후 4:25:00,47434.53125,46828.414062
2025-05-02 오후 4:30:00,47888.222656,47298.640625
2025-05-02 오후 4:35:00,47987.710938,47416.675781
2025-05-02 오후 4:40:00,48320.675781,47760.027344
2025-05-02 오후 4:45:00,48724.027344,48168.074219
2025-05-02 오후 4:50:00,48685.085938,48062.984375
2025-05-02 오후 4:55:00,49104.996094,48564.125
2025-05-02 오후 5:00:00,49478.566406,48937.933594
2025-05-02 오후 5:05:00,49064.304688,48525.734375
2025-05-02 오후 5:10:00,49281.023438,48751.832031
2025-05-02 오후 5:15:00,49599.867188,49063.175781
2025-05-02 오후 5:20:00,50000.15625,49435.398438
2025-05-02 오후 5:25:00,50106.519531,49538.011719
2025-05-02 오후 5:30:00,50613.535156,50069.773438
2025-05-02 오후 5:35:00,50961.351562,50409.117188
2025-05-02 오후 5:40:00,51268.242188,50721.015625
2025-05-02 오후 5:45:00,51559.078125,51022.910156
